"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.IR9146",0.00856781137026994,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9146",0.295696058924938,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9146",0.127674407465916,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9147",0.0756550409194655,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9147",0.0081851794692201,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9147",0.19703148230854,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9147",0.198417990785186,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9148",0.0501570250819443,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9148",0.00631578531896952,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9148",0.326542205937188,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9148",0.0969559398205095,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9149",0.151537216790852,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9149",0.00798161747712409,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9149",0.350858171903675,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9149",0.214169370642215,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9150",0.0996831919906383,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9150",0.0107337729671327,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9150",0.244523679939495,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9150",0.0602830179757317,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9151",0.172476992383641,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9151",0.00514777463208146,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9151",0.257086095918483,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9151",0.151960103868632,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9152",0.11895791966062,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9152",0.0164710251691126,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9152",0.445732361527787,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9152",0.371858531535136,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9153",0.084978110202112,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9153",0.00915919531118467,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9153",0.242610304994751,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9153",0.241277947381837,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9154",0.101345252436452,"sigsq.wavelet.CR","Colony","Rhythmicity"
